,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
0,DLAGU6,POZO SAN GIL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,POZO,-102.0221,22.20887,229.99,Alta,940.0,Permisible para riego,603.6,Cultivos sensibles,Potable - Dulce,0.9766,Potable - Optima,213.732,Potable - Dura,0.9691773503809025,Potable - Excelente,4.184656,Potable - Excelente,0.0161,Apta como FAAP,0.0018787128987379374,Potable - Excelente,0.002431923607921447,Potable - Excelente,0.0004196900491024707,Potable - Excelente,0.0019520383508115297,Potable - Excelente,0.0006799830418904115,Potable - Excelente,0.0891,Potable - Excelente,Verde,NO APLICA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,DLAGU6516,POZO R013 CAÑADA HONDA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,VALLE DE CHICALOTE,POZO,-102.20075,21.99958,231.99,Alta,608.0,Buena para riego,445.4,Excelente para riego,Potable - Dulce,0.9298,Potable - Optima,185.0514,Potable - Dura,1.0731010563393983,Potable - Excelente,5.75011,Potable - Buena calidad,0.0134,Apta como FAAP,3.097512191094376e-05,Potable - Excelente,0.0045918921780559886,Potable - Excelente,0.00028491313085748465,Potable - Excelente,0.0012951398099113338,Potable - Excelente,0.0011369628601702983,Potable - Excelente,0.019689448878590216,Potable - Excelente,Verde,NO APLICA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,DLAGU7,POZO COSIO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,COSIO,VALLE DE AGUASCALIENTES,POZO,-102.28801,22.36685,204.92,Alta,532.0,Buena para riego,342.0,Excelente para riego,Potable - Dulce,1.8045,Alta,120.719,Potable - Dura,0.6186083088751873,Potable - Excelente,1.449803,Potable - Excelente,0.037,No apta como FAAP,0.0016752242087873246,Potable - Excelente,0.004438029482101628,Potable - Excelente,0.00016005635679205377,Potable - Excelente,0.0016746050301134963,Potable - Excelente,6.937692736611755e-05,Potable - Excelente,0.004860167753364434,Potable - Excelente,Rojo,"FLUO,AS,",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
3,DLAGU9,POZO EL SALITRILLO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,VALLE DE AGUASCALIENTES,POZO,-102.29449,22.18435,327.0,Alta,686.0,Buena para riego,478.6,Excelente para riego,Potable - Dulce,1.1229,Potable - Optima,199.879,Potable - Dura,0.18329180377377877,Potable - Excelente,1.258597,Potable - Excelente,0.0154,Apta como FAAP,0.00025643366738113937,Potable - Excelente,0.005,Potable - Excelente,0.00037608570533020154,Potable - Excelente,0.004957290210938109,Potable - Excelente,0.0004608181259613065,Potable - Excelente,0.01295830823408212,Potable - Excelente,Verde,NO APLICA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,DLBAJ107,RANCHO EL TECOLOTE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.2448,23.45138,309.885,Alta,1841.0,Permisible para riego,1179.0,Cultivos con manejo especial,Ligeramente salobres,0.2343,Baja,476.9872,Potable - Dura,291.0,Aceptable,15.672251,No apta como FAAP,0.008810021605686606,Potable - Excelente,0.0016259007723963448,Potable - Excelente,0.0022667579263548764,Potable - Excelente,0.0003343763859231625,Potable - Excelente,0.003066834839465226,Potable - Excelente,0.0004651134479626044,Potable - Excelente,0.012512482672711543,Potable - Excelente,Rojo,"NO3,",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
5,DLBAJ108,POZO A.P. CNA 7 (ANTES POZO A.P. CNA 6),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.22067,23.46493,224.475,Alta,570.3,Buena para riego,554.8,Cultivos sensibles,Potable - Dulce,0.2756,Baja,201.8784,Potable - Dura,6131.0,Contaminada,8.55574,Potable - Buena calidad,0.00023985974952968393,Potable - Excelente,0.0008360610707180981,Potable - Excelente,0.0020855213158710775,Potable - Excelente,0.0004584579446089844,Potable - Excelente,0.004746636291322537,Potable - Excelente,0.0003926530250149001,Potable - Excelente,0.0162296587377375,Potable - Excelente,Rojo,"CF,",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
6,DLBAJ110,"POZO 26, SAN JUAN",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.21396,23.4746,203.67,Alta,531.0,Buena para riego,278.8,Excelente para riego,Potable - Dulce,0.289,Baja,166.2528,Potable - Dura,110.0,Buena calidad,4.68647,Potable - Excelente,0.007621779694211944,Potable - Excelente,0.0015990174118075263,Potable - Excelente,0.0011102759038263872,Potable - Excelente,0.00046727940553012106,Potable - Excelente,0.002193180440286695,Potable - Excelente,0.00023701213800163585,Potable - Excelente,0.003495413300057046,Potable - Excelente,Verde,NO APLICA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,DLBAJ111,VICTOR HUGO CESEÑA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,CABO SAN LUCAS,POZO,-109.907306,22.8905,350.76,Alta,2253.3,Dudosa para riego,1160.2,Cultivos con manejo especial,Ligeramente salobres,0.5607,Media,269.1712,Potable - Dura,798.0,Aceptable,27.600998,No apta como FAAP,0.002032990071573715,Potable - Excelente,0.0004576373424937198,Potable - Excelente,0.0037076883862059104,Potable - Excelente,0.0003663257350501498,Potable - Excelente,0.0015877508098819787,Potable - Excelente,0.0041,Potable - Excelente,0.0692,Potable - Excelente,Rojo,"CONDUC,NO3,",1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
8,DLBAJ117,LAS PARRITAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.088778,23.799861,343.655,Alta,1114.0,Permisible para riego,672.0,Cultivos sensibles,Potable - Dulce,0.3421,Baja,403.8482,Potable - Dura,146.0,Buena calidad,1.877325,Potable - Excelente,0.00043855844807323186,Potable - Excelente,0.0011878473644606124,Potable - Excelente,0.0031249815007224437,Potable - Excelente,1.702964592976264e-05,Potable - Excelente,0.003555720531497288,Potable - Excelente,0.0113,Potable - Excelente,0.1615,Potable - Excelente,Verde,NO APLICA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,DLBAJ118,SAN ANTONIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-110.054722,23.824722,332.605,Alta,1703.0,Permisible para riego,1017.8,Cultivos con manejo especial,Ligeramente salobres,0.5088,Media,559.0214,Muy dura e indeseable usos industrial y domestico,3873.0,Contaminada,0.143061,Potable - Excelente,0.3558,No apta como FAAP,0.00034632124722947335,Potable - Excelente,0.0018869146439116824,Potable - Excelente,0.00024273457720738766,Potable - Excelente,0.0025915865834911286,Potable - Excelente,1.167,Puede afectar la salud,14.06,Sin efectos en la salud - Puede dar color al agua,Rojo,"DT,CF,AS,MN,FE,",1,1,1,1,1,0,0,1,0,1,1,1,1,0,0
10,DLBAJ119,AGUA AMARGA Y SAN PEDRO MEXICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.907091,23.94632,136.53,Media,1329.0,Permisible para riego,671.2,Cultivos sensibles,Potable - Dulce,0.4925,Media,222.8128,Potable - Dura,355.0,Aceptable,5.625327,Potable - Buena calidad,0.0026101833673863174,Potable - Excelente,0.00028381096706362195,Potable - Excelente,0.0053,Potable - Excelente,0.0004128443024473397,Potable - Excelente,0.004964457348664724,Potable - Excelente,0.0011943921069918842,Potable - Excelente,0.006341195033700445,Potable - Excelente,Verde,NO APLICA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,DLBAJ122,EL TRIUNFO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.108253,23.807347,247.52,Alta,1668.0,Permisible para riego,931.2,Cultivos sensibles,Potable - Dulce,0.6351,Media,198.94,Potable - Dura,0.20877300261688692,Potable - Excelente,0.165785,Potable - Excelente,0.008823112749642785,Potable - Excelente,0.0020935035607182995,Potable - Excelente,0.0007346887419438602,Potable - Excelente,0.00023794605200715775,Potable - Excelente,0.00013156103282609577,Potable - Excelente,0.0808,Potable - Excelente,0.1992,Potable - Excelente,Verde,NO APLICA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,DLBAJ125,JUAN DOMINGUEZ COTA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.95892,23.97374,103.23,Media,5167.0,Indeseable para riego,3311.0,Cultivos tolerantes,Salobres,0.2636,Baja,744.0356,Muy dura e indeseable usos industrial y domestico,10.0,Buena calidad,0.853692,Potable - Excelente,0.02575,No apta como FAAP,0.0009290921032015995,Potable - Excelente,0.0003641531314539631,Potable - Excelente,0.00051,Potable - Excelente,0.0027619695453796416,Potable - Excelente,0.0023,Potable - Excelente,0.081,Potable - Excelente,Rojo,"CONDUC,SDT_ra,SDT_salin,DT,AS,",1,0,0,0,1,0,1,1,0,1,1,1,1,1,1
13,DLBAJ127,TIRO SANTA CRUZ,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-110.0611,23.80554,240.89,Alta,1369.0,Permisible para riego,811.6,Cultivos sensibles,Potable - Dulce,0.4125,Media,415.7846,Potable - Dura,857.0,Aceptable,0.211852,Potable - Excelente,0.1128,No apta como FAAP,0.0008179785378453583,Potable - Excelente,0.0012716476511172897,Potable - Excelente,0.000472149527414298,Potable - Excelente,0.0008477709030143577,Potable - Excelente,0.0027,Potable - Excelente,0.0321,Potable - Excelente,Rojo,"AS,",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
